time,latitude,longitude,depth,mag,mag_type,nst,gap,dmin,rms,net,id,updated,place,type,horizontal_error,depth_error,mag_error,mag_nst,status,location_source,mag_source
2021-01-12T21:52:31.510Z,33.5853333,-116.7996667,7.75,0.42,ml,15,161,0.03084,0.09,ci,ci39755280,2021-01-12T23:36:03.282Z,"12km WNW of Anza, CA",earthquake,0.29,0.41,0.126,4,reviewed,ci,ci
2021-01-12T21:46:26.143Z,61.4532,-149.8973,31.9,1.8,ml,,,,0.69,ak,ak021k786kg,2021-01-12T22:25:12.578Z,"8 km SSE of Big Lake, Alaska",earthquake,,0.1,,,automatic,ak,ak
2021-01-12T21:39:28.270Z,38.8354988,-122.8071671,1.66,1.32,md,19,77,0.0123,0.02,nc,nc73510125,2021-01-13T01:36:04.465Z,"7km WNW of Cobb, CA",earthquake,0.22,0.47,,1,automatic,nc,nc
2021-01-12T21:36:34.130Z,60.0476666666667,-153.1165,1.88,0.14,ml,4,166,,0.04,av,av91016908,2021-01-13T02:37:57.050Z,"62 km ENE of Pedro Bay, Alaska",earthquake,0.59,1.16,0.156021158169286,3,reviewed,av,av
2021-01-12T21:33:57.200Z,39.4278333,-110.324,-1.01,1.21,md,5,177,0.003824,0.03,uu,uu60424062,2021-01-12T23:00:51.400Z,"14 km SSE of Sunnyside, Utah",earthquake,1.39,0.73,0.12,4,reviewed,uu,uu
2021-01-12T21:30:19.630Z,60.0473333333333,-153.116,2.01,0.25,ml,4,166,,0.05,av,av91016903,2021-01-13T02:34:51.410Z,"62 km ENE of Pedro Bay, Alaska",earthquake,0.56,1.15,0.197948206578691,3,reviewed,av,av
2021-01-12T21:29:21.240Z,60.0401666666667,-153.112333333333,0.68,0.1,ml,4,151,,0.07,av,av91016898,2021-01-13T02:32:55.990Z,"62 km ENE of Pedro Bay, Alaska",earthquake,0.32,1.09,0.236533085148032,3,reviewed,av,av
2021-01-12T21:29:02.680Z,60.0523333333333,-153.116833333333,2.18,-0.15,ml,4,184,,0.12,av,av91016888,2021-01-13T02:29:10.120Z,"62 km ENE of Pedro Bay, Alaska",earthquake,0.74,1.4,0.177023062133925,3,reviewed,av,av
2021-01-12T21:28:57.260Z,60.0396666666667,-153.112833333333,0.6,-0.23,ml,4,149,,0.09,av,av91016883,2021-01-13T02:27:34.770Z,"62 km ENE of Pedro Bay, Alaska",earthquake,0.36,1.24,0.206887278841191,3,reviewed,av,av
2021-01-12T21:28:43.780Z,60.0706666666667,-153.100166666667,5.47,-0.12,ml,4,263,,0.24,av,av91016893,2021-01-13T02:31:25.660Z,"64 km ENE of Pedro Bay, Alaska",earthquake,1.43,1.86,0.18749349555364,3,reviewed,av,av
2021-01-12T21:28:38.340Z,60.0466666666667,-153.116833333333,1.88,0.03,ml,4,162,,0.06,av,av91016878,2021-01-13T02:22:13.720Z,"62 km ENE of Pedro Bay, Alaska",earthquake,0.62,1.27,0.162791247636538,3,reviewed,av,av
2021-01-12T21:21:02.680Z,41.8898333,-112.6803333,4.28,0.71,md,7,222,0.2684,0.17,uu,uu60424057,2021-01-12T22:45:25.710Z,"8 km SSE of Snowville, Utah",earthquake,1.64,8.97,0.268,4,reviewed,uu,uu
2021-01-12T21:19:32.250Z,32.7501667,-115.8143333,8.72,1.47,ml,17,78,0.1235,0.22,ci,ci39755248,2021-01-12T21:23:12.615Z,"17km E of Ocotillo, CA",earthquake,0.51,1.35,0.316,19,automatic,ci,ci
2021-01-12T21:12:49.750Z,44.7415,-110.853,2.31,-0.08,md,5,134,0.04686,0.11,uu,uu60424052,2021-01-12T22:24:52.210Z,"21 km ENE of West Yellowstone, Montana",earthquake,0.5,8.02,0.429,3,reviewed,uu,uu
2021-01-12T21:07:44.885Z,38.045,-118.7606,3.2,1.7,ml,24,99.54,0.288,0.1391,nn,nn00797010,2021-01-13T02:31:29.956Z,"33 km ENE of Lee Vining, California",earthquake,,2.2,0.24,8,reviewed,nn,nn
2021-01-12T21:02:53.195Z,64.7699,-149.0343,30.1,1.1,ml,,,,0.47,ak,ak021k6yt7c,2021-01-12T21:16:44.446Z,"19 km NNE of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-01-12T21:02:37.250Z,39.0273323,-123.0713348,4.59,2.29,md,15,150,0.2065,0.06,nc,nc73510095,2021-01-13T00:44:04.088Z,"14km W of Lakeport, CA",earthquake,0.51,3.36,0.23,9,automatic,nc,nc
2021-01-12T21:02:22.860Z,-20.7978,-178.3612,559.41,4.5,mb,,138,4.549,1.14,us,us6000d7v5,2021-01-12T22:13:12.040Z,Fiji region,earthquake,10.8,7,0.058,87,reviewed,us,us
2021-01-12T21:00:16.440Z,36.7753334,-121.1613312,8.22,1.43,md,7,202,0.1052,0.03,nc,nc73510090,2021-01-13T00:29:02.976Z,"14km E of Tres Pinos, CA",earthquake,0.79,1.75,0.25,4,automatic,nc,nc
2021-01-12T20:37:24.119Z,64.9825,-147.4622,0,1.4,ml,,,,0.99,ak,ak021k6ktdl,2021-01-12T20:43:00.324Z,"7 km ENE of Fox, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-01-12T20:35:34.057Z,38.2548,-118.5319,11.6,0,ml,9,300.88,0.022,0.1393,nn,nn00797012,2021-01-13T02:31:31.048Z,"31 km SSE of Hawthorne, Nevada",earthquake,,3.3,0,1,reviewed,nn,nn
2021-01-12T20:35:05.981Z,60.3232,-141.7031,0,1.8,ml,,,,0.32,ak,ak021k6kcjq,2021-01-12T20:39:39.676Z,"140 km SSE of McCarthy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-01-12T20:22:37.178Z,59.8966,-153.2014,115.7,2.2,ml,,,,0.54,ak,ak021k6hmnn,2021-01-12T22:02:11.040Z,"52 km ENE of Pedro Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-01-12T20:18:42.640Z,19.1771659851074,-155.443664550781,34.7900009155273,2.06999993,md,35,156,,0.129999995,hv,hv72318272,2021-01-12T20:21:54.400Z,"4 km SE of Pāhala, Hawaii",earthquake,0.63,0.920000017,2.06999993,4,automatic,hv,hv
2021-01-12T20:11:43.410Z,17.9246,-66.7308,13,1.98,md,6,236,0.2135,0.26,pr,pr2021012017,2021-01-12T20:54:04.633Z,"7 km S of Tallaboa, Puerto Rico",earthquake,2.61,1.06,0.18,6,reviewed,pr,pr
2021-01-12T20:09:58.290Z,38.0993,-118.1635,1.7,0.8,ml,10,187.16,0.104,0.2,nn,nn00797006,2021-01-12T21:09:40.811Z,"32 km S of Mina, Nevada",earthquake,,18.4,,,automatic,nn,nn
